# X03MA-ES2-MA:TRYS.VAL,	X03MA-ES2-ACPH1:V,	X03MA-ES2-ACDC:V,	
9.989058313658638610e-01,	-1.419089082628488541e-02,	1.878385543823242188e-01
1.024234856261172055e+00,	-1.480125170201063156e-02,	1.686121970415115356e-01
1.049383370556917328e+00,	-1.602197252213954926e-02,	1.576256901025772095e-01
1.073953376003944582e+00,	-1.693751476705074310e-02,	1.509117335081100464e-01
1.099779004615153655e+00,	-1.785305514931678772e-02,	1.448081135749816895e-01
1.124761984338931819e+00,	-1.449607126414775848e-02,	1.420614868402481079e-01
1.151040214621174007e+00,	-1.983672846108675003e-03,	1.344319880008697510e-01
1.174438226343169855e+00,	1.541161257773637772e-02,	1.295491009950637817e-01
1.200817712436410112e+00,	3.280689567327499390e-02,	1.228351294994354248e-01
1.225167579889592684e+00,	3.921568766236305237e-02,	1.194781437516212463e-01
1.250904278373146772e+00,	3.830014541745185852e-02,	1.176470592617988586e-01
1.274611358216642731e+00,	3.433280065655708313e-02,	1.152056157588958740e-01
1.299824151273356598e+00,	3.219653666019439697e-02,	1.124589890241622925e-01
1.325649779884565671e+00,	2.731364965438842773e-02,	1.078812852501869202e-01
1.350593132214061631e+00,	1.205462776124477386e-02,	1.033035814762115479e-01
1.376623922791520016e+00,	-8.697642944753170013e-03,	1.017776727676391602e-01
1.400296675929238344e+00,	-1.419089082628488541e-02,	9.842069447040557861e-02
1.425917142574198326e+00,	-1.525902189314365387e-04,	9.719996899366378784e-02
1.450539101098851091e+00,	1.785305514931678772e-02,	9.445334225893020630e-02
1.475761569494655756e+00,	2.395666390657424927e-02,	9.170672297477722168e-02
1.500423155413590726e+00,	2.334630303084850311e-02,	8.987563848495483398e-02
1.524901580388710709e+00,	2.395666390657424927e-02,	8.743419498205184937e-02
1.549523538913363252e+00,	2.609292790293693542e-02,	8.682383596897125244e-02
1.574387636454295247e+00,	2.609292790293693542e-02,	8.621347695589065552e-02
1.599291361389509003e+00,	2.548256702721118927e-02,	8.346685022115707397e-02
1.624130807563753942e+00,	2.548256702721118927e-02,	8.285649120807647705e-02
1.649432530748123238e+00,	2.487220615148544312e-02,	8.133058995008468628e-02
1.674195372478056498e+00,	2.395666390657424927e-02,	8.072022348642349243e-02
1.699328910746205956e+00,	2.639810740947723389e-02,	7.919432222843170166e-02
1.724450123331012108e+00,	2.548256702721118927e-02,	7.766842097043991089e-02
1.748750688050821900e+00,	2.578774653375148773e-02,	7.797360420227050781e-02
1.774077062601877142e+00,	2.426184527575969696e-02,	7.766842097043991089e-02
1.798852230015153930e+00,	2.487220615148544312e-02,	7.553216069936752319e-02
1.824779114437361516e+00,	2.395666390657424927e-02,	7.492179423570632935e-02
1.849425724328700671e+00,	2.365148440003395081e-02,	7.339589297771453857e-02
1.874302147552975750e+00,	2.273594215512275696e-02,	7.736323773860931396e-02
1.898669641378006201e+00,	2.304112352430820465e-02,	7.339589297771453857e-02
1.924403689517307781e+00,	2.243076264858245850e-02,	7.400625944137573242e-02
1.948924392230962033e+00,	2.304112352430820465e-02,	7.309071719646453857e-02
1.974250766782017497e+00,	2.151522040367126465e-02,	7.309071719646453857e-02
1.999307700605855276e+00,	2.121004089713096619e-02,	7.248035073280334473e-02
2.024082868019131620e+00,	1.754787564277648926e-02,	7.186999171972274780e-02
2.049075523082001027e+00,	1.205462776124477386e-02,	7.217517495155334473e-02
2.074221387033493791e+00,	9.308003820478916168e-03,	7.217517495155334473e-02
2.099125111968707103e+00,	8.392462506890296936e-03,	7.186999171972274780e-02
2.123952232459608958e+00,	-1.678492408245801926e-03,	7.400625944137573242e-02
2.149419490215945583e+00,	-2.121004089713096619e-02,	7.431143522262573242e-02
2.174295913440220218e+00,	-2.761882916092872620e-02,	6.942854821681976318e-02
2.199891728718494033e+00,	-2.426184527575969696e-02,	7.095444947481155396e-02
2.224743500576082056e+00,	-1.358052995055913925e-02,	6.973373144865036011e-02
2.249582946750327661e+00,	1.068131532520055771e-03,	7.278553396463394165e-02
2.274652206257508524e+00,	1.754787564277648926e-02,	7.003890722990036011e-02
2.299338443543129884e+00,	2.212558127939701080e-02,	7.278553396463394165e-02
2.324383051683624135e+00,	2.334630303084850311e-02,	6.820783019065856934e-02
2.349452311190804998e+00,	2.212558127939701080e-02,	6.698710471391677856e-02
2.373982689243550048e+00,	2.212558127939701080e-02,	6.637674570083618164e-02
2.399195482300264359e+00,	2.182040177285671234e-02,	6.942854821681976318e-02
2.424534182534662907e+00,	2.151522040367126465e-02,	6.942854821681976318e-02
2.449462558836563275e+00,	2.121004089713096619e-02,	6.881818920373916626e-02
2.474531818343744138e+00,	2.151522040367126465e-02,	6.546120345592498779e-02
2.499512147723269795e+00,	2.059968002140522003e-02,	6.546120345592498779e-02
2.524351593897515400e+00,	2.151522040367126465e-02,	6.424048542976379395e-02
2.549818851653851137e+00,	2.121004089713096619e-02,	6.729228794574737549e-02
2.575167227227340483e+00,	2.121004089713096619e-02,	6.393530219793319702e-02
2.600276114128804217e+00,	2.059968002140522003e-02,	6.424048542976379395e-02
2.624589004531956427e+00,	1.968413777649402618e-02,	6.424048542976379395e-02
2.649826448955357350e+00,	1.907377690076828003e-02,	6.698710471391677856e-02
2.674999614617788790e+00,	1.846341602504253387e-02,	6.301975995302200317e-02
2.700390267929813071e+00,	2.059968002140522003e-02,	6.607156246900558472e-02
2.725088830898777292e+00,	2.029449865221977234e-02,	6.240940093994140625e-02
2.750130788695019479e+00,	2.121004089713096619e-02,	6.668192893266677856e-02
2.775573395084669048e+00,	2.029449865221977234e-02,	6.301975995302200317e-02
2.801001025446723247e+00,	2.151522040367126465e-02,	6.393530219793319702e-02
2.825635309654718874e+00,	2.151522040367126465e-02,	6.485084444284439087e-02
2.850242292151776269e+00,	2.273594215512275696e-02,	6.546120345592498779e-02
2.875378480764178235e+00,	2.365148440003395081e-02,	6.485084444284439087e-02
2.900398437537986318e+00,	2.487220615148544312e-02,	6.515602022409439087e-02
2.924956117301670044e+00,	2.487220615148544312e-02,	6.668192893266677856e-02
2.949409890910103194e+00,	2.578774653375148773e-02,	6.729228794574737549e-02
2.974237011401005049e+00,	2.487220615148544312e-02,	7.339589297771453857e-02
2.999410177063437377e+00,	2.395666390657424927e-02,	7.156481593847274780e-02
3.024390506442963034e+00,	2.365148440003395081e-02,	7.492179423570632935e-02
3.049637626205454310e+00,	2.273594215512275696e-02,	7.827877998352050781e-02
3.073772656353296107e+00,	2.151522040367126465e-02,	8.987563848495483398e-02
3.099803446930754713e+00,	2.059968002140522003e-02,	9.933622926473617554e-02
3.124183266439128914e+00,	2.029449865221977234e-02,	2.317845374345779419e-01
3.149776431373149777e+00,	1.785305514931678772e-02,	6.559853553771972656e-01
3.174435366947832016e+00,	2.822919003665447235e-02,	1.189135551452636719e+00
3.199516952138356629e+00,	3.952086716890335083e-02,	1.557488322257995605e+00
3.224193514084886747e+00,	3.982604667544364929e-02,	1.934691429138183594e+00
3.249302400986350037e+00,	3.555352240800857544e-02,	2.518196344375610352e+00
3.274549520748840870e+00,	3.189135715365409851e-02,	2.419623136520385742e+00
3.299309712134522066e+00,	4.043640941381454468e-02,	1.945677876472473145e+00
3.324559482241265851e+00,	4.654001817107200623e-02,	1.639581918716430664e+00
3.349861205425634481e+00,	4.745555669069290161e-02,	1.630731701850891113e+00
3.375019395060470551e+00,	5.172808468341827393e-02,	1.895323157310485840e+00
3.399371912857906075e+00,	5.600060895085334778e-02,	2.211795330047607422e+00
3.424312614843149305e+00,	5.142290517687797546e-02,	2.037231922149658203e+00
3.449960383199047520e+00,	4.257266968488693237e-02,	1.642328500747680664e+00
3.474735550612324531e+00,	3.707942366600036621e-02,	1.654840946197509766e+00
3.499703554308506881e+00,	2.059968002140522003e-02,	1.756466031074523926e+00
3.524016444711659979e+00,	2.288853283971548080e-03,	1.591668605804443359e+00
3.548972122724499023e+00,	-2.288853283971548080e-03,	1.198596119880676270e+00
3.574273845908868097e+00,	1.022354513406753540e-02,	1.017624139785766602e+00
3.599407384177017555e+00,	2.273594215512275696e-02,	1.217822551727294922e+00
3.624335760478917479e+00,	3.433280065655708313e-02,	1.678034663200378418e+00
3.648930417292632011e+00,	4.104676842689514160e-02,	1.935301780700683594e+00
3.674667115776185877e+00,	4.501411318778991699e-02,	1.885557293891906738e+00
